Row Labels,Trial Count,Max of Root Mean Square Error (RMSE),Average of Root Mean Square Error (RMSE)2
0.5,850,0.566751731,0.208179042
0,50,0.226553867,0.191965078
0.02,50,0.227135719,0.193069247
0.05,50,0.225854199,0.191767761
0.1,50,0.207483886,0.191176514
0.15,50,0.211177817,0.193501172
0.2,50,0.203082257,0.193617279
0.25,50,0.199890444,0.189908181
0.4,50,0.183606398,0.167893093
0.5,50,0.170292918,0.156524392
0.6,50,0.167195299,0.15131723
0.7,50,0.164584874,0.152491707
0.8,50,0.162484275,0.151367193
2,50,0.213948344,0.129598995
3,50,0.304256728,0.221132892
4,50,0.399291526,0.29031026
5,50,0.438602977,0.329498896
9,50,0.566751731,0.443903816
1,5950,0.917990018,0.224413897
0,850,0.875087898,0.215575139
0,50,0.148823551,0.145764357
0.02,50,0.148155659,0.144846252
0.05,50,0.14651042,0.1434628
0.1,50,0.144598953,0.141453176
0.15,50,0.142837625,0.139848477
0.2,50,0.141511962,0.138553798
0.25,50,0.140368287,0.137193865
0.4,50,0.136352691,0.131444278
0.5,50,0.132864555,0.126145739
0.6,50,0.13029017,0.121723748
0.7,50,0.125084162,0.117699688
0.8,50,0.123243907,0.115616339
2,50,0.296930662,0.165221618
3,50,0.515605275,0.33483184
4,50,0.674704097,0.442369461
5,50,0.708558899,0.483980913
9,50,0.875087898,0.634621005
0.05,850,0.917990018,0.21393462
0,50,0.153859449,0.150238339
0.02,50,0.15327098,0.149171743
0.05,50,0.152504046,0.147862156
0.1,50,0.148793321,0.145662259
0.15,50,0.14743193,0.143805568
0.2,50,0.145273429,0.142103769
0.25,50,0.143965988,0.140575226
0.4,50,0.139564906,0.134331015
0.5,50,0.137038806,0.129086639
0.6,50,0.133985537,0.124075419
0.7,50,0.131715848,0.120532385
0.8,50,0.127424647,0.118362208
2,50,0.277269055,0.156233378
3,50,0.482269128,0.309898846
4,50,0.579812471,0.410377375
5,50,0.672643088,0.475976909
9,50,0.917990018,0.638595305
0.1,850,0.805571485,0.209264523
0,50,0.159665652,0.155638662
0.02,50,0.162033832,0.154725588
0.05,50,0.157465683,0.152841649
0.1,50,0.154824987,0.150389302
0.15,50,0.152402101,0.147825395
0.2,50,0.14974845,0.145563492
0.25,50,0.14782225,0.14391412
0.4,50,0.144907124,0.138049271
0.5,50,0.141875584,0.133153666
0.6,50,0.139093247,0.128521427
0.7,50,0.1359406,0.124432225
0.8,50,0.133581493,0.12162029
2,50,0.302093126,0.158173942
